Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,SpaceGroup,PointGroup,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5,Ef
Fe,Zr,Zr,Zr,Zr,0,1,0,0.75,0.25,1.36,0.5925,0,0.18,1.36,0.4125,1.7725,2.29535865,3.296969697,0,0.303797468,0.101551481,-48,-22.25,0,-10.25,-48,-12,-60,2.157303371,4,0,0.460674157,0.170833333,3,3.25,0,1,3,2.25,5.25,0.923076923,1.333333333,0,0.307692308,0.19047619,1193,1890.25,0,532,1193,1358.25,2551.25,0.631133448,0.878336094,0,0.281444253,0.208525233,3737,3521,0,1170.5,3737,2350.5,6087.5,1.061346208,1.589874495,0,0.332433968,0.192279261,138.90547,64.68975,0,22.806,138.90547,41.88375,180.78922,2.14725625,3.316452562,0,0.352544259,0.126146902,6.146,7.53325,0,1.62775,6.146,5.9055,12.0515,0.815849733,1.040724748,0,0.216075399,0.135066174,538,732.25,0,160,538,572.25,1110.25,0.734721748,0.940148536,0,0.218504609,0.144111687,1.1,1.705,0,0.3325,1.1,1.3725,2.4725,0.64516129,0.801457195,0,0.195014663,0.134479272,2320,1865.5,0,670,2320,1195.5,3515.5,1.243634414,1.940610623,0,0.359153042,0.190584554,-772.207,-454.8375,0,-233.2995,-772.207,-221.538,-993.745,1.697764586,3.485663859,0,0.512929343,0.234767974,0.97948041,0.423214286,280.2758299,-0.125,0.02051959,1,0,0,0,1,0,0,0,0.514146,-5.279009,-0.403396,-3.647182,-5.283963,1.672209825,0.00509748,0.6680475,0.026064475,0.005072289,10.98963,10.98963,7.787028,90,90,90,940.4546928,1.015137443,1.021395233,0.774800041,139,15 [ D4h ],I4/mmm,64,40.703521,-5.552389,0,0,0,0,0,0,0,0,0,0,0,0,-2.700528
Zr,Zr,Zr,Zr,Zr,0,1,0,0.6875,0.3125,1.36,0.603125,0,0.225,1.36,0.378125,1.738125,2.25492228,3.596694215,0,0.373056995,0.129449838,-48,-23.8125,0,-12.8125,-48,-11,-59,2.015748031,4.363636364,0,0.538057743,0.217161017,3,3.3125,0,1.25,3,2.0625,5.0625,0.905660377,1.454545455,0,0.377358491,0.24691358,1193,1910.0625,0,665,1193,1245.0625,2438.0625,0.624586892,0.95818483,0,0.348156147,0.272757569,3737,3617.75,0,1463.125,3737,2154.625,5891.625,1.032962477,1.73440854,0,0.404429549,0.248339804,138.90547,66.9009375,0,28.5075,138.90547,38.3934375,177.2989075,2.076285852,3.61794825,0,0.426115105,0.160787793,6.146,7.4480625,0,2.0346875,6.146,5.413375,11.559375,0.825181045,1.135336089,0,0.273183462,0.176020546,538,724.5625,0,200,538,524.5625,1062.5625,0.742517036,1.025616585,0,0.276028638,0.188224222,1.1,1.67375,0,0.415625,1.1,1.258125,2.358125,0.657206871,0.87431694,0,0.248319642,0.176252319,2320,1933.375,0,837.5,2320,1095.875,3415.875,1.199974138,2.117029771,0,0.433180319,0.245178761,-772.207,-494.700875,0,-291.624375,-772.207,-203.0765,-975.2835,1.560957417,3.802542392,0,0.58949638,0.299014979,0.974285038,0.430803571,280.2375854,-0.15625,0.025714962,1,0,0,0,1,0,0,0,0.48328,-5.320536,-0.578417,-3.786459,-5.176404,1.621383829,0.004890132,0.560785388,0.022675755,0.005648281,11.027794,11.027794,7.821576,90,90,90,951.1993817,1.019798317,1.031854074,0.765315283,123,15 [ D4h ],P4/mmm,16,42.05771,-5.439768,0,0,0,0,0,0,0,0,0,0,0,0,-2.795687
Zr,Zr,Zr,Zr,Zr,0,1,0,0.625,0.375,1.36,0.61375,0,0.27,1.36,0.34375,1.70375,2.215885947,3.956363636,0,0.439918534,0.158473955,-48,-25.375,0,-15.375,-48,-10,-58,1.891625616,4.8,0,0.60591133,0.265086207,3,3.375,0,1.5,3,1.875,4.875,0.888888889,1.6,0,0.444444444,0.307692308,1193,1929.875,0,798,1193,1131.875,2324.875,0.618174752,1.054003313,0,0.413498284,0.34324426,3737,3714.5,0,1755.75,3737,1958.75,5695.75,1.006057343,1.907849394,0,0.472674653,0.308256156,138.90547,69.112125,0,34.209,138.90547,34.903125,173.808595,2.009856736,3.979743075,0,0.494978269,0.196819956,6.146,7.362875,0,2.441625,6.146,4.92125,11.06725,0.834728282,1.248869698,0,0.331612991,0.220617136,538,716.875,0,240,538,476.875,1014.875,0.750479512,1.128178244,0,0.334786399,0.236482325,1.1,1.6425,0,0.49875,1.1,1.14375,2.24375,0.669710807,0.961748634,0,0.303652968,0.222284123,2320,2001.25,0,1005,2320,996.25,3316.25,1.159275453,2.328732748,0,0.502186134,0.303053147,-772.207,-534.56425,0,-349.94925,-772.207,-184.615,-956.822,1.444554139,4.182796631,0,0.654643946,0.365741225,0.96914449,0.438392857,280.2215644,-0.1875,0.03085551,1,0,0,0,1,0,0,0,0.424008,-5.438844,-1.572138,3.364684,-5.360529,1.528073818,0.004344503,0.207600857,28.92435576,0.00469842,11.11236572,11.11236572,7.828538,90,90,89.34634593,966.6732256,1.02127752,1.023760087,0.752343703,63,8 [ D2h ],Cmcm,8,37.442018,-5.713893,0,0,0,0,0,0,0,0,0,0,0,0,-2.919253
Zr,Zr,Zr,Zr,Zr,0,1,0,0.5625,0.4375,1.36,0.624375,0,0.315,1.36,0.309375,1.669375,2.178178178,4.395959596,0,0.504504505,0.188693373,-48,-26.9375,0,-17.9375,-48,-9,-57,1.781902552,5.333333333,0,0.665893271,0.314692982,3,3.4375,0,1.75,3,1.6875,4.6875,0.872727273,1.777777778,0,0.509090909,0.373333333,1193,1949.6875,0,931,1193,1018.6875,2211.6875,0.611892932,1.171114792,0,0.477512422,0.420945545,3737,3811.25,0,2048.375,3737,1762.875,5499.875,0.980518203,2.11983266,0,0.537454903,0.372440283,138.90547,71.3233125,0,39.9105,138.90547,31.4128125,170.3182825,1.947546533,4.42193675,0,0.559571599,0.234328925,6.146,7.2776875,0,2.8485625,6.146,4.429125,10.575125,0.844499025,1.387632997,0,0.39141039,0.269364428,538,709.1875,0,280,538,429.1875,967.1875,0.758614612,1.253531382,0,0.394818014,0.289499192,1.1,1.61125,0,0.581875,1.1,1.029375,2.129375,0.682699767,1.068609593,0,0.361132661,0.273260933,2320,2069.125,0,1172.5,2320,896.625,3216.625,1.121246904,2.587480831,0,0.566664653,0.364512494,-772.207,-574.427625,0,-408.274125,-772.207,-166.1535,-938.3605,1.344306865,4.647551812,0,0.710749461,0.435093043,0.964057902,0.445982143,280.226636,-0.21875,0.035942098,1,0,0,0,1,0,0,0,0.398469,-5.511609,-2.761537,4.098325,-5.409687,1.489542462,0.004039602,0.063194564,60.23930221,0.00447304,11.155217,11.155217,7.8736,90,90,90,979.7818578,1.019725997,1.023410941,0.741566706,123,15 [ D4h ],P4/mmm,16,34.958504,-5.710993,0,0,0,0,0,0,0,0,0,0,0,0,-3.009085
Zr,Zr,Zr,Zr,Zr,0,1,0,0.5,0.5,1.36,0.635,0,0.36,1.36,0.275,1.635,2.141732283,4.945454545,0,0.566929134,0.220183486,-48,-28.5,0,-20.5,-48,-8,-56,1.684210526,6,0,0.719298246,0.366071429,3,3.5,0,2,3,1.5,4.5,0.857142857,2,0,0.571428571,0.444444444,1193,1969.5,0,1064,1193,905.5,2098.5,0.605737497,1.317504141,0,0.540238639,0.50702883,3737,3908,0,2341,3737,1567,5304,0.956243603,2.384811742,0,0.599027636,0.441365008,138.90547,73.5345,0,45.612,138.90547,27.9225,166.82797,1.888983674,4.974678843,0,0.620280277,0.273407391,6.146,7.1925,0,3.2555,6.146,3.937,10.083,0.854501217,1.561087122,0,0.452624261,0.322870178,538,701.5,0,320,538,381.5,919.5,0.766928011,1.410222805,0,0.45616536,0.348015226,1.1,1.58,0,0.665,1.1,0.915,2.015,0.696202532,1.202185792,0,0.420886076,0.330024814,2320,2137,0,1340,2320,797,3117,1.085634066,2.910915935,0,0.627047263,0.429900545,-772.207,-614.291,0,-466.599,-772.207,-147.692,-919.899,1.257070346,5.228495789,0,0.759573232,0.507228511,0.959024431,0.453571429,280.2517404,-0.25,0.040975569,1,0,0,0,1,0,0,0,0.377995,-5.68544,2.266984,-1.889488,-5.675371,1.459355646,0.003395039,9.65025172,0.151149177,0.003429396,11.177832,11.177832,7.903538,90,90,90,987.4990846,1.006162042,1.022704633,0.735065688,139,15 [ D4h ],I4/mmm,128,28.947909,-5.700381,0,0,0,0,0,0,0,0,0,0,0,0,-3.093852
Ni,Ni,Ni,Ni,Al,0,1,0,0.9375,0.0625,1.36,0.5584375,0,0.0334375,1.36,0.525,1.885,2.435366536,2.59047619,0,0.059876889,0.017738727,-48,-107.6875,0,-2.6875,-48,-105,-153,0.445734185,0.457142857,0,0.024956471,0.017565359,3,3,0,0.1875,3,2.8125,5.8125,1,1.066666667,0,0.0625,0.032258065,1193,1678.3125,0,58.3125,1193,1620,2813,0.710833054,0.736419753,0,0.034744721,0.020729648,3737,3161.375,0,174.5,3737,2986.875,6723.875,1.182080582,1.251140406,0,0.055197501,0.025952297,138.90547,56.71140875,0,1.68634625,138.90547,55.0250625,193.9305325,2.449339085,2.524403675,0,0.029735573,0.00869562,6.146,8.52,0,0.16875,6.146,8.35125,14.49725,0.721361502,0.735937734,0,0.019806338,0.011640139,538,727.0625,0,36.125,538,690.9375,1228.9375,0.739963896,0.778652194,0,0.049686237,0.029395311,1.1,1.89125,0,0.100625,1.1,1.790625,2.890625,0.581625909,0.614310646,0,0.053205552,0.034810811,2320,1960.9375,0,128.125,2320,1832.8125,4152.8125,1.18310757,1.265814152,0,0.065338645,0.030852585,-772.207,-193.479375,0,-43.809375,-772.207,-149.67,-921.877,3.991159264,5.159397341,0,0.226429174,0.047521931,0.996516211,0.398883929,279.5422295,0,0.003483789,1,0,0,0,0,0,1,0,0.218056,-2.507767,3.594576,1.187388,-3.161879,1.24365671,0.081449914,36.400263,3.278506555,0.042346098,10.755155,10.755155,7.591414,90,90,90,878.1243575,0.995637839,1.003922066,0.83283841,123,15 [ D4h ],P4/mmm,16,88.827862,-3.139927,0,0,0,0,0,0,0,0,0,0,0,0,-2.270408
Ni,Ni,Ni,Al,Al,0,1,0,0.875,0.125,1.36,0.556875,0,0.066875,1.36,0.49,1.85,2.442199776,2.775510204,0,0.120089787,0.036148649,-48,-103.375,0,-5.375,-48,-98,-146,0.4643289,0.489795918,0,0.051995163,0.036815068,3,3,0,0.375,3,2.625,5.625,1,1.142857143,0,0.125,0.066666667,1193,1628.625,0,116.625,1193,1512,2705,0.732519764,0.789021164,0,0.071609487,0.043114603,3737,3136.75,0,349,3737,2787.75,6524.75,1.191360485,1.340507578,0,0.111261656,0.053488639,138.90547,54.7294175,0,3.3726925,138.90547,51.356725,190.262195,2.538040351,2.704718223,0,0.061624857,0.017726551,6.146,8.132,0,0.3375,6.146,7.7945,13.9405,0.755779636,0.788504715,0,0.041502705,0.024210036,538,717.125,0,72.25,538,644.875,1182.875,0.750217884,0.834270207,0,0.100749521,0.061079996,1.1,1.8725,0,0.20125,1.1,1.67125,2.77125,0.587449933,0.658189978,0,0.107476636,0.072620659,2320,1966.875,0,256.25,2320,1710.625,4030.625,1.179536066,1.356229448,0,0.130282809,0.063575748,-772.207,-227.31075,0,-87.61875,-772.207,-139.692,-911.899,3.397142458,5.527925722,0,0.385458013,0.096083832,0.997311896,0.397767857,277.6566556,0,0.002688104,1,0,0,0,0,0,1,0,0.202623,-2.628712,3.855456,1.22137,-3.242056,1.224610703,0.072171359,47.2501581,3.391831361,0.039083457,10.772739,10.772739,7.548756,90,90,90,876.0475184,0.994603621,1.005873548,0.833973112,139,15 [ D4h ],I4/mmm,32,86.732384,-3.254088,0,0,0,0,0,0,0,0,0,0,0,0,-2.368827
Ni,Ni,Al,Al,Al,0,1,0,0.8125,0.1875,1.36,0.5553125,0,0.1003125,1.36,0.455,1.815,2.449071469,2.989010989,0,0.180641531,0.055268595,-48,-99.0625,0,-8.0625,-48,-91,-139,0.484542587,0.527472527,0,0.081388013,0.058003597,3,3,0,0.5625,3,2.4375,5.4375,1,1.230769231,0,0.1875,0.103448276,1193,1578.9375,0,174.9375,1193,1404,2597,0.755571389,0.8497151,0,0.110794442,0.067361379,3737,3112.125,0,523.5,3737,2588.625,6325.625,1.200787243,1.443623545,0,0.168213038,0.082758621,138.90547,52.74742625,0,5.05903875,138.90547,47.6883875,186.5938575,2.63340754,2.912773471,0,0.095910627,0.027112569,6.146,7.744,0,0.50625,6.146,7.23775,13.38375,0.793646694,0.849158924,0,0.065373192,0.037825721,538,707.1875,0,108.375,538,598.8125,1136.8125,0.760760053,0.898444839,0,0.153247901,0.095332344,1.1,1.85375,0,0.301875,1.1,1.551875,2.651875,0.593391773,0.708819976,0,0.162845583,0.113834551,2320,1972.8125,0,384.375,2320,1588.4375,3908.4375,1.175986061,1.46055479,0,0.194836053,0.098344927,-772.207,-261.142125,0,-131.428125,-772.207,-129.714,-901.921,2.957037284,5.953150778,0,0.503281977,0.145720218,0.998108853,0.396651786,275.766331,0,0.001891147,1,0,0,0,0,0,1,0,0.191572,-2.739758,4.081417,1.294375,-3.579223,1.211152033,0.064585975,59.22933839,3.648714815,0.027897366,10.770923,10.770923,7.552434,90,90,90,876.1788813,0.994085617,1.009904066,0.833008501,123,15 [ D4h ],P4/mmm,16,78.673942,-3.444076,0,0,0,0,0,0,0,0,0,0,0,0,-2.462863
Ni,Al,Al,Al,Al,0,1,0,0.75,0.25,1.36,0.55375,0,0.13375,1.36,0.42,1.78,2.455981941,3.238095238,0,0.241534989,0.075140449,-48,-94.75,0,-10.75,-48,-84,-132,0.506596306,0.571428571,0,0.113456464,0.081439394,3,3,0,0.75,3,2.25,5.25,1,1.333333333,0,0.25,0.142857143,1193,1529.25,0,233.25,1193,1296,2489,0.780120974,0.920524691,0,0.152525748,0.093712334,3737,3087.5,0,698,3737,2389.5,6126.5,1.210364372,1.563925507,0,0.226072874,0.113931282,138.90547,50.765435,0,6.745385,138.90547,44.02005,182.92552,2.736221407,3.155504594,0,0.132873578,0.036875035,6.146,7.356,0,0.675,6.146,6.681,12.827,0.835508428,0.919922167,0,0.091761827,0.052623373,538,697.25,0,144.5,538,552.75,1090.75,0.771602725,0.973315242,0,0.207242739,0.132477653,1.1,1.835,0,0.4025,1.1,1.4325,2.5325,0.599455041,0.767888307,0,0.219346049,0.15893386,2320,1978.75,0,512.5,2320,1466.25,3786.25,1.172457359,1.58226769,0,0.259001895,0.135358204,-772.207,-294.9735,0,-175.2375,-772.207,-119.736,-891.943,2.617886013,6.449246676,0,0.59407879,0.196467151,0.998907084,0.395535714,273.8712266,0,0.001092916,1,0,0,0,0,0,1,0,0.180022,-2.852117,4.175705,1.71612,-4.274561,1.197243702,0.057721994,65.08570891,5.562902475,0.013918157,10.755869,10.755869,7.588468,90,90,90,877.9001341,0.995697799,1.002080144,0.830537335,139,15 [ D4h ],I4/mmm,64,62.146286,-3.605236,0,0,0,0,0,0,0,0,0,0,0,0,-2.557398
Al,Al,Al,Al,Al,0,1,0,0.6875,0.3125,1.36,0.5521875,0,0.1671875,1.36,0.385,1.745,2.462931522,3.532467532,0,0.302773062,0.095809456,-48,-90.4375,0,-13.4375,-48,-77,-125,0.530753283,0.623376623,0,0.148583276,0.1075,3,3,0,0.9375,3,2.0625,5.0625,1,1.454545455,0,0.3125,0.185185185,1193,1479.5625,0,291.5625,1193,1188,2381,0.806319436,1.004208754,0,0.197059942,0.122453801,3737,3062.875,0,872.5,3737,2190.375,5927.375,1.220095499,1.706100554,0,0.284863078,0.14719838,138.90547,48.78344375,0,8.43173125,138.90547,40.3517125,179.2571825,2.847389592,3.442368648,0,0.172840017,0.047037062,6.146,6.968,0,0.84375,6.146,6.12425,12.27025,0.882032147,1.003551455,0,0.121089265,0.06876388,538,687.3125,0,180.625,538,506.6875,1044.6875,0.782758934,1.061798446,0,0.262798945,0.172898594,1.1,1.81625,0,0.503125,1.1,1.313125,2.413125,0.605643496,0.837696335,0,0.277013076,0.208495208,2320,1984.6875,0,640.625,2320,1344.0625,3664.0625,1.168949772,1.726110207,0,0.322783814,0.174840085,-772.207,-328.804875,0,-219.046875,-772.207,-109.758,-881.965,2.348526615,7.035541828,0,0.666191081,0.248362322,0.999706594,0.394419643,271.9713132,0,0.000293406,1,0,0,0,0,0,1,0,0.170209,-3.050152,3.643241,1.710201,-4.268986,1.185552606,0.047351726,38.21549264,5.530072911,0.013995968,10.74155,10.74155,7.596298,90,90,90,876.4676726,0.996614069,1.004369232,0.831055431,123,15 [ D4h ],P4/mmm,16,65.45435,-3.869385,0,0,0,0,0,0,0,0,0,0,0,0,-2.650197
Al,Al,Al,Al,Al,0,1,0,0.625,0.375,1.36,0.550625,0,0.200625,1.36,0.35,1.71,2.469920545,3.885714286,0,0.364358683,0.117324561,-48,-86.125,0,-16.125,-48,-70,-118,0.557329463,0.685714286,0,0.187227866,0.136652542,3,3,0,1.125,3,1.875,4.875,1,1.6,0,0.375,0.230769231,1193,1429.875,0,349.875,1193,1080,2273,0.834338666,1.10462963,0,0.244689221,0.153926529,3737,3038.25,0,1047,3737,1991.25,5728.25,1.229984366,1.876710609,0,0.34460627,0.182778335,138.90547,46.8014525,0,10.1180775,138.90547,36.683375,175.588845,2.967973483,3.786605513,0,0.216191527,0.057623692,6.146,6.58,0,1.0125,6.146,5.5675,11.7135,0.934042553,1.103906601,0,0.15387538,0.086438725,538,677.375,0,216.75,538,460.625,998.625,0.79424248,1.16797829,0,0.319985237,0.217048442,1.1,1.7975,0,0.60375,1.1,1.19375,2.29375,0.611961057,0.921465969,0,0.335883171,0.263215259,2320,1990.625,0,768.75,2320,1221.875,3541.875,1.165463108,1.898721228,0,0.386185243,0.217046056,-772.207,-362.63625,0,-262.85625,-772.207,-99.78,-871.987,2.129425836,7.739096011,0,0.724848247,0.301445148,1.000507384,0.393303571,270.0665612,0,0.000507384,1,0,0,0,0,0,1,0,0.171695,-2.850051,2.671852,2.677071,-4.28718,1.187315647,0.057841371,14.46673679,14.54243606,0.013743628,10.78387394,10.78387394,7.549915,90,90,89.82827752,877.992307,0.998096609,1.0050197,0.82877446,63,8 [ D2h ],Cmcm,8,54.560994,-3.71654,0,0,0,0,0,0,0,0,0,0,0,0,-2.731696
Al,Al,Al,Al,Al,0,1,0,0.5625,0.4375,1.36,0.5490625,0,0.2340625,1.36,0.315,1.675,2.476949345,4.317460317,0,0.426294821,0.139738806,-48,-81.8125,0,-18.8125,-48,-63,-111,0.58670741,0.761904762,0,0.229946524,0.169481982,3,3,0,1.3125,3,1.6875,4.6875,1,1.777777778,0,0.4375,0.28,1193,1380.1875,0,408.1875,1193,972,2165,0.864375311,1.227366255,0,0.29574786,0.188539261,3737,3013.625,0,1221.5,3737,1792.125,5529.125,1.240034842,2.08523401,0,0.405325812,0.220921032,138.90547,44.81946125,0,11.80442375,138.90547,33.0150375,171.9205075,3.099222216,4.207339459,0,0.26337719,0.068662104,6.146,6.192,0,1.18125,6.146,5.01075,11.15675,0.992571059,1.22656289,0,0.190770349,0.105877608,538,667.4375,0,252.875,538,414.5625,952.5625,0.806067984,1.297753656,0,0.378874426,0.265468145,1.1,1.77875,0,0.704375,1.1,1.074375,2.174375,0.618411806,1.023851076,0,0.395994378,0.323943662,2320,1996.5625,0,896.875,2320,1099.6875,3419.6875,1.161997183,2.109690253,0,0.449209579,0.262268117,-772.207,-396.467625,0,-306.665625,-772.207,-89.802,-862.009,1.947717673,8.598995568,0,0.773494746,0.355756871,1.001309458,0.3921875,268.1569409,0,0.001309458,1,0,0,0,0,0,1,0,0.169135,-2.605943,2.376325,3.090364,-3.811528,1.184280006,0.073833479,10.76526772,21.98507909,0.022114362,10.802746,10.802746,7.544169,90,90,90,880.3994009,0.994434895,1.009442294,0.825672963,123,15 [ D4h ],P4/mmm,16,48.800034,-3.394164,0,0,0,0,0,0,0,0,0,0,0,0,-2.817241
Al,Al,Al,Al,Al,0,1,0,0.5,0.5,1.36,0.5475,0,0.2675,1.36,0.28,1.64,2.484018265,4.857142857,0,0.488584475,0.163109756,-48,-77.5,0,-21.5,-48,-56,-104,0.619354839,0.857142857,0,0.277419355,0.206730769,3,3,0,1.5,3,1.5,4.5,1,2,0,0.5,0.333333333,1193,1330.5,0,466.5,1193,864,2057,0.896655393,1.380787037,0,0.350620068,0.226786582,3737,2989,0,1396,3737,1593,5330,1.25025092,2.345888261,0,0.467045835,0.261913696,138.90547,42.83747,0,13.49077,138.90547,29.3467,168.25217,3.242616102,4.733256891,0,0.314929196,0.080181848,6.146,5.804,0,1.35,6.146,4.454,10.6,1.058924879,1.379883251,0,0.232598208,0.127358491,538,657.5,0,289,538,368.5,906.5,0.818250951,1.459972863,0,0.439543726,0.318808605,1.1,1.76,0,0.805,1.1,0.955,2.055,0.625,1.151832461,0,0.457386364,0.391727494,2320,2002.5,0,1025,2320,977.5,3297.5,1.15855181,2.373401535,0,0.511860175,0.310841547,-772.207,-430.299,0,-350.475,-772.207,-79.824,-852.031,1.794582372,9.673870014,0,0.814491784,0.411340667,1.00211282,0.391071429,266.2424223,0,0.00211282,1,0,0,0,0,0,1,0,0.177889,-2.736939,2.187796,2.097317,-3.544418,1.194692703,0.0647683,8.915541591,8.144289444,0.028885429,10.745875,10.745875,7.602496,90,90,90,877.889327,0.996099735,1.012272693,0.827195799,139,15 [ D4h ],I4/mmm,128,52.76215,-3.454838,0,0,0,0,0,0,0,0,0,0,0,0,-2.891472
Ni,Ni,Ni,Ni,As,0,1,0,0.9375,0.0625,1.36,0.55375,0,0.02875,1.36,0.525,1.885,2.455981941,2.59047619,0,0.051918736,0.015251989,-48,-109.875,0,-4.875,-48,-105,-153,0.436860068,0.457142857,0,0.044368601,0.031862745,3,3.125,0,0.3125,3,2.8125,5.8125,0.96,1.066666667,0,0.1,0.053763441,1193,1688.125,0,68.125,1193,1620,2813,0.706701222,0.736419753,0,0.040355424,0.024217917,3737,3042.3125,0,55.4375,3737,2986.875,6723.875,1.228341927,1.251140406,0,0.018222158,0.008244874,138.90547,59.7076625,0,4.6826,138.90547,55.0250625,193.9305325,2.326426194,2.524403675,0,0.078425445,0.02414576,6.146,8.7091875,0,0.3579375,6.146,8.35125,14.49725,0.705691547,0.735937734,0,0.04109884,0.024690027,538,750.125,0,59.1875,538,690.9375,1228.9375,0.717213798,0.778652194,0,0.078903516,0.048161522,1.1,1.926875,0,0.13625,1.1,1.790625,2.890625,0.570872527,0.614310646,0,0.070710347,0.047135135,2320,1852.325,0,19.5125,2320,1832.8125,4152.8125,1.252479991,1.265814152,0,0.010534059,0.004698623,-772.207,-163.5576875,0,-13.8876875,-772.207,-149.67,-921.877,4.721312778,5.159397341,0,0.084910026,0.015064577,0.998907084,0.395535714,284.1755479,-0.0625,0.001092916,1,0,0,0,0,0,1,0,0.249656,-2.649686,2.914628,2.577511,-3.238294,1.283583788,0.070673401,18.44195072,13.16433133,0.039230766,10.787829,10.787829,7.589667,90,90,90,883.2646083,0.996905151,1.008572158,0.827991619,123,15 [ D4h ],P4/mmm,16,89.777227,-3.244762,0,0,0,0,0,0,0,0,0,0,0,0,-2.213291
Ni,Ni,Ni,As,As,0,1,0,0.875,0.125,1.36,0.5475,0,0.0575,1.36,0.49,1.85,2.484018265,2.775510204,0,0.105022831,0.031081081,-48,-107.75,0,-9.75,-48,-98,-146,0.445475638,0.489795918,0,0.090487239,0.066780822,3,3.25,0,0.625,3,2.625,5.625,0.923076923,1.142857143,0,0.192307692,0.111111111,1193,1648.25,0,136.25,1193,1512,2705,0.723797968,0.789021164,0,0.082663431,0.050369686,3737,2898.625,0,110.875,3737,2787.75,6524.75,1.289231963,1.340507578,0,0.038250895,0.016992988,138.90547,60.721925,0,9.3652,138.90547,51.356725,190.262195,2.28756697,2.704718223,0,0.154230947,0.0492226,6.146,8.510375,0,0.715875,6.146,7.7945,13.9405,0.722177342,0.788504715,0,0.084117915,0.051352175,538,763.25,0,118.375,538,644.875,1182.875,0.704880445,0.834270207,0,0.155093351,0.100073972,1.1,1.94375,0,0.2725,1.1,1.67125,2.77125,0.565916399,0.658189978,0,0.140192926,0.098331078,2320,1749.65,0,39.025,2320,1710.625,4030.625,1.325979482,1.356229448,0,0.022304461,0.009682121,-772.207,-167.467375,0,-27.775375,-772.207,-139.692,-911.899,4.611089175,5.527925722,0,0.165855439,0.030458828,1.00211282,0.391071429,286.9683602,-0.125,0.00211282,1,0,0,0,0,0,1,0,0.271782,-2.886076,2.946985,2.707208,-3.393991,1.312300889,0.055794722,19.04843603,14.9873723,0.033574414,10.814158,10.814158,7.591977,90,90,90,887.8514428,0.993358638,1.011072773,0.822885496,139,15 [ D4h ],I4/mmm,32,86.245314,-3.43912,0,0,0,0,0,0,0,0,0,0,0,0,-2.248635
